Stock Name,Stock Symbol,Stock Number
Agriculture Development Bank Limited,ADBL,397
Ankhu Khola Jalvidhyut Company Limited,AKJCL,278
Api Power Company Ltd.,API,697
Arambha Microfinance Bittiya Sanstha Ltd.,AMFI,277
Arun Kabeli Power Ltd.,AKPL,275
Arun Valley Hydropower Development Co. Ltd.,AHPC,360
Arun Vanaspati Udhyog Limited,AVU,211
Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,280
Asian Life Insurance Co. Limited,ALICL,385
Bank of Kathmandu Ltd.,BOKL,138
Barun Hydropower Co. Ltd.,BARUN,686
Best Finance Company Ltd.,BFC,227
Bhargav Bikash Bank Ltd.,BHBL,487
Birat Shoe Limited,BSL,217
Bishal Bazar Company Limited,BBC,156
Bottlers Nepal (Balaju) Limited,BNL,195
Bottlers Nepal (Terai) Limited,BNT,213
Butwal Power Company Limited,BPCL,153
Butwal Spinning Mills Limited,BSM,205
Capital Merchant Bank & Finance Co. Ltd.,CMB,259
Central Finance Co. Ltd.,CFCL,245
Century Commercial Bank Ltd.,CCBL,605
Chautari Laghubitta Bittya Sanstha Ltd,CHLBS,279
Chhimek Laghubitta Bikas Bank Limited,CBBL,164
Chhyangdi Hydropower Ltd.,CHL,276
Chilime Hydropower Company Limited,CHCL,154
Citizen Bank International Limited,CZBIL,348
Citizen Investment Trust,CIT,210
Citizens Mutual Fund -1,CMF1,278
City Express Finance Co. Limited,CEFL,296
Civil Bank Ltd,CBL,532
Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,693
Corporate Development Bank Limited,CORBL,450
Crystal Finance Ltd.,CFL,361
Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,166
Deva Bikas Bank Limited,DBBL,311
Dibyashwori Hydropower Ltd.,DHPL,275
Everest Bank Limited,EBL,137
Everest Bank Limited Con. Pref.,EBLCP,277
Everest Insurance Co. Ltd.,EIC,181
Excel Development Bank Ltd.,EDBL,274
First Micro Finance Laghubitta Bittiya Sanstha Ltd.,FMDBL,490
Fleur Himalayan Limited,FHL,228
Forward Community Microfinance Bittiya Sanstha Ltd.,FOWAD,275
Gandaki Bikas Bank Limited,GDBL,420
Garima Bikas Bank Limited,GBBL,417
Ghalemdi Hydro Limited,GHL,280
Global IME Bank Limited,GBIME,341
Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,705
Global IME Samunnat Scheme-1,GIMES1,174
Goodwill Finance Co. Ltd.,GFCL,232
Gorakhkali Rubber Udhyog Limited,GRU,207
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,583
Green Development Bank Ltd.,GRDBL,274
Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,263
Gurans Life Insurance Company Ltd.,GLICL,447
Gurkhas Finance Ltd.,GUFL,204
Hamro Bikas Bank Ltd.,HAMRO,576
Harisiddhi Brick And Tiles Limited,HBT,215
Hathway Finance Company Limited,HATH,421
Himalayan Bank Limited,HBL,134
Himalayan Distillery Limited,HDL,235
Himalayan Finance Limited (Bittiya Sanstha),HFL,441
Himalayan General Insurance Co. Ltd,HGI,179
Himalayan Power Partner Ltd.,HPPL,276
Hydroelectricity Investment and Development Company Ltd,HIDCL,274
ICFC Finance Limited,ICFC,273
IME General Insurance Ltd.,IGI,186
Janaki Finance Ltd.,JFL,250
Janata Bank Nepal Ltd.,JBNL,496
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,JSLBB,695
Jebils Finance Ltd.,JEFL,577
Joshi Hydropower Development Company Ltd,JOSHI,278
Jyoti Bikas Bank Limited,JBBL,418
Jyoti Sinning Mills Limited,JSM,209
Kabeli Bikas Bank Limited,KEBL,427
Kailash Bikas Bank Ltd.,KBBL,202
Kalika Laghubitta Bittiya Sanstha Ltd.,KMCDB,593
Kalika power Company Ltd,KPCL,278
Kamana Sewa Bikas Bank Limited,KSBBL,459
Kanchan Development Bank Limited,KADBL,505
Kankai Bikas Bank Ltd.,KNBL,419
Karnali Development Bank Limited,KRBL,428
Khanikhola Hydropower Co. Ltd.,KKHC,275
Kisan Microfinance Bittiya Sanstha Ltd.,KMFL,694
Kumari Bank Limited,KBL,142
Lalitpur Finance Ltd.,LFC,231
Laxmi Bank Limited,LBL,141
Laxmi Equity Fund,LEMF,276
Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS,618
Laxmi Value Fund-1,LVF1,674
Life Insurance Co. Nepal,LICN,188
Lumbini Bikas Bank Ltd.,LBBL,358
Lumbini General Insurance Co. Ltd.,LGIL,190
Machhapuchhre Bank Limited,MBL,140
Mahalaxmi Bikas Bank Ltd.,MLBL,401
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,MSMBS,691
Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,MSLB,276
Manjushree Finance Ltd.,MFIL,516
Mega  Bank Nepal Ltd.,MEGA,562
Mero Microfinance Bittiya Sanstha Ltd.,MERO,174
Mirmire LaghuBitta Bittiya Sanstha Limited,MMFDB,682
Mission Development Bank Ltd.,MIDBL,570
Miteri Development Bank Limited,MDB,371
Mithila LaghuBitta Bittiya Sanstha Limited,MLBBL,601
Muktinath Bikas Bank Ltd.,MNBBL,474
Multipurpose Finance Company  Limited,MPFL,471
Nabil Bank Limited,NABIL,131
Nabil Equity Fund,NEF,275
Nadep Laghubitta Bittiya Sanstha Ltd.,NADEP,278
NagBeli LaghuBitta Bikas Bank Ltd.,NBBL,602
Narayani Development Bank Limited,NABBC,172
National Hydro Power Company Limited,NHPC,152
National Life Insurance Co. Ltd.,NLICL,178
National Microfinance Bittiya Sanstha Ltd.,NMFBS,274
Naya Nepal Laghubitta Bikas Bank Ltd.,NNLB,592
Neco Insurance Co. Ltd.,NIL,183
Nepal Bangladesh Bank Limited,NBB,136
Nepal Bank Limited,NBL,517
Nepal Bitumin And Barrel Udhyog Limited,NBBU,233
Nepal Community Development Bank Ltd.,NCDB,598
Nepal Credit And Commercial Bank Limited,NCCB,144
Nepal Doorsanchar Comapany Limited,NTC,307
Nepal Film Development Company Limited,NFD,151
Nepal Finance Ltd.,NFS,194
Nepal Hydro Developers Ltd.,NHDL,276
Nepal Insurance Co. Ltd.,NICL,176
Nepal Investment Bank Limited,NIB,132
Nepal Khadya Udhyog Limited,NKU,222
Nepal Life Insurance Co. Ltd.,NLIC,187
Nepal Lube Oil Limited,NLO,198
Nepal SBI Bank Limited,SBI,135
Nepal Seva Laghubitta Bittiya Sanstha Ltd.,NSEWA,278
Nepal Share Markets Ltd.,NSM,200
Nepal Tading Limited,NTL,158
Nepal Vanaspati Ghee Udhyog Limited,NVG,201
Nepal Welfare Company Limited,NWC,159
Nerude Laghubita Bikas Bank Limited,NLBBL,396
Ngadi Group Power Ltd.,NGPL,274
NIBL Pragati Fund,NIBLPF,275
NIBL Samriddhi Fund 1,NIBSF1,636
NIC Asia Bank Ltd.,NICA,139
NIC Asia Growth Fund,NICGF,277
NIDC Development Bank Ltd.,NIDC,160
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,NUBL,163
NLG Insurance Company Ltd.,NLG,559
NMB  Microfinance Bittiya Sanstha Ltd.,NMBMF,704
NMB Bank Limited,NMB,238
NMB Hybrid Fund L-1,NMBHF1,275
NMB Sulav Investment Fund-1,NMBSF1,629
Om Development Bank Ltd.,ODBL,398
Oriental Hotels Limited,OHL,149
Panchakanya Mai Hydropower Ltd,PMHPL,278
Pokhara Finance Ltd.,PFL,236
Prabhu  Bank Limited,PRVU,255
Prabhu Insurance Ltd.,PRIN,184
Premier Insurance Co. Ltd.,PIC,182
Prime Commercial Bank Ltd.,PCBL,357
Prime Life Insurance Company Limited,PLIC,393
ProgressiveFinance Limited,PROFL,338
Prudential Insurance Co. Ltd.,PICL,189
Purnima Bikas Bank Ltd.,PURBL,451
Radhi Bidyut Company Ltd,RADHI,277
Raghupati Jute Mills Limited,RJM,203
Rairang Hydropower Development Company Ltd.,RRHP,278
Rastriya Beema Company Limited,RBCL,177
Reliance Finance Ltd.,RLFL,587
Ridi Hydropower Development Company Ltd.,RHPC,610
RMDC Laghubitta Bittiya Sanstha Ltd.,RMDC,575
RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC,274
Sagarmatha Insurance Co. Ltd.,SIC,185
Sahara Bikas Bank Ltd.,SHBL,625
Sahayogi Bikas Bank Limited,SBBLJ,174
Salt Trading Corporation,STC,155
Samata Microfinance Bittiya Sanstha Ltd.,SMATA,276
Samjhana Finance Co. Ltd.,SFC,221
Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL,280
Sana Kisan Bikas Bank Ltd,SKBBL,574
Sanima Bank Limited,SANIMA,171
Sanima Equity Fund,SAEF,277
Sanima Mai Hydropower Ltd.,SHPC,591
Saptakoshi Development Bank Ltd.,SKDBL,173
Shangrila Development Bank Ltd.,SADBL,472
Shikhar Insurance Co. Ltd.,SICL,192
Shine Resunga Development Bank Ltd.,SHINE,473
SHIVAM CEMENTS LTD,SHIVM,280
Shree Bhrikuti Pulp And Paper Limited,SBPP,226
Shree Investment Finance Co. Ltd.,SIFC,244
Shree Ram Sugar Mills Limited,SRS,230
Shrijana Finance  (Bittaya Sanstha),SFFIL,261
Siddhartha Bank Limited,SBL,145
Siddhartha Equity Fund,SEF,277
Siddhartha Equity Orineted Scheme,SEOS,616
Siddhartha Insurance Ltd.,SIL,280
Sindhu Bikash Bank Ltd,SINDU,561
Soaltee Hotel Limited,SHL,147
Standard Chartered Bank Limited,SCB,133
Summit Micro Finance Development Bank Ltd.,SMFDB,502
Sunrise Bank Limited,SRBL,359
Support Microfinance Bittiya Sanstha Ltd.,SMB,277
Surya Life Insurance Company Limited,SLICL,403
Suryodaya Laghubitta Bittiya Sanstha Ltd.,SLBS,275
Swabalamban Laghubitta Bittiya Sanstha Limited,SWBBL,268
Swadeshi Laghubitta Bittiya Sanstha Ltd.,SDESI,276
Swarojgar Laghu Bitta Bikas Bank Ltd.,SLBBL,545
Synergy Finance Ltd.,SYFL,249
Synergy Power Development Ltd.,SPDL,275
Taragaon Regency Hotel Limited,TRH,148
Tinau Development Bank Limited,TNBL,442
Uniliver Nepal Limited,UNL,219
United Finance Ltd.,UFL,242
United Insurance Co. (Nepal) Ltd.,UIC,180
United Modi Hydropower Ltd.,UMHL,276
UNIVERSAL POWER COMPANY LTD,UPCL,281
Unnati Micorfinance Bittiya Sanstha Ltd.,UMB,277
Upper Tamakoshi Hydropower Ltd,UPPER,279
Vijaya laghubitta Bittiya Sanstha Ltd.,VLBS,687
Western Development Bank Limited,WDBL,445
Womi Microfinance Bittiya Sanstha Ltd.,WOMI,706
World Merchant Banking & Finance Ltd.,WMBF,256
